alpha,accuracy,f1,macro_f1
0.0,0.6175,0.5590778097982709,0.610664732713705
0.3,0.6575,0.5898203592814372,0.6479144714862122
0.5,0.70625,0.6322378716744914,0.6938504654938534
0.7,0.71125,0.6362204724409449,0.6984211170494881
0.9,0.73375,0.6687402799377916,0.7230848735112155
1.0,0.73375,0.6687402799377916,0.7230848735112155
